Author,h-index
"Li, Jinbao",4
"Chung, Chun-Shiang",5
"Lomas-Neira, Joanne L.",5
"Ayala, Alfred",6
"Jones, Joshua H.",3
"Minshall, Richard D.",8
"Lamers, Mart M.",1
"Haagmans, Bart L.",1
"Wu, Yunhao",2
"Yu, Xiu",2
"Wang, Yuwei",2
"Huang, Yalin",1
"Jiang, Siyu",1
"Xia, Yuanli",1
"Kertesz, Zsuzsanna",1
"Harrington, Elizabeth O.",7
"Braza, Julie",6
"Guarino, Brianna D.",1
"Chichger, Havovi",6
"Zhang, Lishan",2
"Nong, Jia",1
"Glassman, Patrick M.",2
"Muzykantov, Vladimir R.",6
"Fukatsu, Masahiko",1
"Ohkawara, Hiroshi",1
"Wang, Xintao",1
"Alkebsi, Lobna",1
"Furukawa, Miki",1
"Mori, Hirotaka",1
"Fukami, Miwa",1
"Fukami, Shin-ichi",1
"Sano, Takahiro",1
"Takahashi, Hiroshi",1
"Harada-Shirado, Kayo",1
"Kimura, Satoshi",1
"Sugimoto, Koichi",1
"Ogawa, Kazuei",1
"Ikezoe, Takayuki",1
"Sun, Weifeng",1
"Wu, Weixin",1
"Jiang, Nan",1
"Ge, Xinna",1
"Zhang, Yongning",1
"Han, Jun",2
"Guo, Xin",1
"Zhou, Lei",1
"Yang, Hanchun",1
"Li, Haichang",1
"Rosas, Lucia",1
"Li, Zhongguang",1
"Bian, Zehua",1
"Li, Xiuchun",1
"Choi, Kyounghan",1
"Cai, Chuanxi",1
"Zhou, Xinyu",1
"Tan, Tao",1
"Bergdall, Valerie",1
"Whitson, Bryan",1
"Davis, Ian",1
"Ma, Jianjie",1
"Chen, Weiguo",5
"Gard, Jamie M. C.",0
"Epshtein, Yulia",3
"Jacobson, Jeffrey R.",11
"Cress, Anne E.",1
"Sercundes, Michelle Klein",2
"Ortolan, Luana dos Santos",2
"Julio, Viviane da Silva",1
"Bella, Leonardo M.",1
"Quirino, Thatyane de Castro",2
"Debone, Daniela",2
"Carneiro-Ramos, Marcela S.",1
"Christoffolete, Marcelo A.",1
"Martins, Joilson O.",1
"D'Imperio Lima, Maria Regina",1
"Alvarez, Jose M.",2
"Amarante-Mendes, Gustavo P.",1
"Goncalves, Ligia Antunes",1
"Marinho, Claudio R. F.",2
"Epiphanio, Sabrina",2
"Ji, Juanjuan",1
"Ye, Wei",1
"Huang, Yi-Dan",1
"Fang, Yu",1
"Ma, Li",1
"Feng, Peng-Jiu",1
"Li, Wen-Long",1
"Zhou, Yi-Qi",1
"Qin, Yuan-Hao",1
"You, Zhi-Jian",1
"Dong, Liang",1
"Bouchard, Beth A.",1
"Colovos, Christos",1
"Lawson, Michael A.",1
"Osborn, Zachary T.",1
"Sackheim, Adrian M.",1
"Mould, Kara J.",1
"Cohen, Mitchell J.",1
"Majumdar, Devdoot",1
"Freeman, Kalev",1
"Fernandes, Marcos V. S.",1
"Rocha, Nazareth N.",2
"Felix, Nathane S.",1
"Rodrigues, Gisele C.",1
"Silva, Luisa H. A.",1
"Coelho, Mariana S.",1
"Teixeira, Ana Carolina G. M.",1
"Hao, Qin",1
"Shetty, Sreerama",2
"Tucker, Torry A.",1
"Idell, Steven",1
"Tang, Hua",1
"Uddin, Mohammad Afaz",4
"Wang, Qizheng",1
"Wu, Qiong",1
"He, Jing",4
"Yang, Yanli",1
"Wang, Beibei",2
"Dong, Nian",1
"Wu, Dengmin",1
"Fang, Ya",1
"Chen, Junjie",1
"Lin, Yuting",1
"Bellusci, Saverio",1
"Zhang, Jin-San",1
"Dai, Kezhi",1
"Chen, Chengshui",1
"Ji, Peng",1
"Han, Shichao",1
"Zhang, Wanfu",1
